Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,MSA Code,MI %,Number of units,Occupancy Status,Original Combined LTV,Original DI Ratio,Original UPB,Original LTV,Original Interest Rate,Channel,PPM Flag,Product Type,Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name
638,201303,9,204302,44140,0,1,P,33,27,79000,33,3.5,R,N,FRM,MA,SF,1000,F113Q1000184,N,360,1,Other sellers,Other servicers
703,201303,9,204302,,0,3,P,50,40,105000,50,3.625,R,N,FRM,MA,SF,1200,F113Q1000130,N,360,1,Other sellers,Other servicers
779,201303,9,204302,,0,1,P,80,26,112000,80,3.5,R,N,FRM,MA,SF,1300,F113Q1000040,N,360,2,Other sellers,Other servicers
716,201303,9,204302,15764,0,1,P,70,38,275000,58,3.375,R,N,FRM,MA,SF,1400,F113Q1000147,N,360,2,Other sellers,"PNCBANK,NATL"
757,201303,9,204302,15764,0,1,P,57,35,276000,57,3.25,R,N,FRM,MA,SF,1700,F113Q1000145,C,360,2,Other sellers,Other servicers
742,201304,9,204303,15764,0,1,P,80,43,310000,80,3.5,R,N,FRM,MA,SF,1800,F113Q1000008,C,360,1,Other sellers,NATIONSTARMTGELLCDBA
788,201303,9,204302,15764,0,1,P,79,31,349000,79,3.25,R,N,FRM,MA,SF,1800,F113Q1000155,N,360,2,Other sellers,Other servicers
793,201303,9,204302,15764,0,1,P,64,29,265000,64,3.25,R,N,FRM,MA,CO,1900,F113Q1000152,N,360,1,Other sellers,Other servicers
783,201303,9,204302,14454,0,1,P,79,19,373000,79,3.375,R,N,FRM,MA,SF,2000,F113Q1000187,N,360,2,Other sellers,"PNCBANK,NATL"
770,201304,9,204303,14454,0,1,P,40,34,183000,40,3.125,R,N,FRM,MA,SF,2000,F113Q1000194,C,360,2,Other sellers,Other servicers
780,201303,9,204302,15764,0,1,P,39,23,247000,39,3.375,R,N,FRM,MA,CO,2100,F113Q1000148,N,360,1,Other sellers,"PNCBANK,NATL"
792,201304,9,204303,14454,0,1,P,80,15,374000,80,3.25,R,N,FRM,MA,SF,2100,F113Q1000158,N,360,2,Other sellers,Other servicers
785,201303,9,204302,14454,0,1,P,77,18,200000,77,3.375,R,N,FRM,MA,CO,2100,F113Q1000162,N,360,1,Other sellers,"PNCBANK,NATL"
794,201303,9,204302,14454,0,1,P,20,46,200000,20,2.875,R,N,FRM,MA,CO,2100,F113Q1000165,C,360,1,Other sellers,Other servicers
689,201303,9,204302,14454,0,1,P,85,45,342000,76,3.375,R,N,FRM,MA,SF,2100,F113Q1000181,N,360,2,Other sellers,"PNCBANK,NATL"
730,201304,9,204303,14454,0,1,P,83,35,409000,70,3.375,R,N,FRM,MA,SF,2400,F113Q1000138,N,360,2,Other sellers,"PNCBANK,NATL"
763,201303,9,204302,15764,0,1,P,27,21,398000,27,3.125,R,N,FRM,MA,SF,2400,F113Q1000149,N,360,2,Other sellers,Other servicers
796,201304,9,204303,14454,0,2,P,34,43,417000,34,3.25,R,N,FRM,MA,SF,2400,F113Q1000163,C,360,2,Other sellers,Other servicers
777,201304,9,204303,15764,0,1,P,63,25,340000,63,3.25,R,N,FRM,MA,SF,2400,F113Q1000186,N,360,1,Other sellers,Other servicers
798,201304,9,204303,12700,0,1,P,67,18,156000,67,3.5,R,N,FRM,MA,SF,2500,F113Q1000051,N,360,1,Other sellers,Other servicers
