"CBSA Code","CBSA Name","CBSA Type","Estimated Pop","Rank"
"10100","Aberdeen, SD","Micro","43097","674"
"10140","Aberdeen, WA","Micro","72697","477"
"10180","Abilene, TX","Metro","170219","255"
"10220","Ada, OK","Micro","38224","725"
"10300","Adrian, MI","Micro","98623","397"
"10380","Aguadilla-Isabela, PR","Metro","302615","166"
"10420","Akron, OH","Metro","703505","82"
"10460","Alamogordo, NM","Micro","65817","503"
"10500","Albany, GA","Metro","148234","293"
"10540","Albany-Lebanon, OR","Metro","125047","336"
"10580","Albany-Schenectady-Troy, NY","Metro","886188","64"
"10620","Albemarle, NC","Micro","61482","523"
"10660","Albert Lea, MN","Micro","30535","815"
"10700","Albertville, AL","Micro","95548","408"
"10740","Albuquerque, NM","Metro","910726","61"
"10760","Alexander City, AL","Micro","51435","595"
"10780","Alexandria, LA","Metro","153984","278"
"10820","Alexandria, MN","Micro","37575","732"
"10860","Alice, TX","Micro","52144","586"
"10900","Allentown-Bethlehem-Easton, PA-NJ","Metro","840550","71"
"10940","Alma, MI","Micro","41018","690"
"10980","Alpena, MI","Micro","28462","833"
"11020","Altoona, PA","Metro","123457","341"
"11060","Altus, OK","Micro","25125","866"
"11100","Amarillo, TX","Metro","264925","186"
"11140","Americus, GA","Micro","35060","766"
"11180","Ames, IA","Metro","123986","340"
"11220","Amsterdam, NY","Micro","49258","608"
"11260","Anchorage, AK","Metro","400888","138"
"11380","Andrews, TX","Micro","17722","920"
"11420","Angola, IN","Micro","34484","772"
"11460","Ann Arbor, MI","Metro","367627","148"
"11500","Anniston-Oxford, AL","Metro","114728","358"
"11540","Appleton, WI","Metro","236126","197"
"11580","Arcadia, FL","Micro","36862","742"
"11620","Ardmore, OK","Micro","58224","545"
"11640","Arecibo, PR","Metro","181643","239"
"11660","Arkadelphia, AR","Micro","22293","888"
"11700","Asheville, NC","Metro","456145","119"
"11740","Ashland, OH","Micro","53628","578"
"11780","Ashtabula, OH","Micro","97807","399"
"11820","Astoria, OR","Micro","39182","708"
"11860","Atchison, KS","Micro","16332","928"
"11900","Athens, OH","Micro","66597","497"
"11940","Athens, TN","Micro","52877","583"
"11980","Athens, TX","Micro","81064","444"
"12020","Athens-Clarke County, GA","Metro","209271","218"
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Metro","5884736","9"
"12100","Atlantic City-Hammonton, NJ","Metro","269918","182"
"12120","Atmore, AL","Micro","37447","736"
"12140","Auburn, IN","Micro","42836","676"
"12180","Auburn, NY","Micro","77603","456"
"12220","Auburn-Opelika, AL","Metro","161604","270"
"12260","Augusta-Richmond County, GA-SC","Metro","600151","96"
"12300","Augusta-Waterville, ME","Micro","121821","344"
"12380","Austin, MN","Micro","39566","701"
"12420","Austin-Round Rock-Georgetown, TX","Metro","2115827","31"
"12460","Bainbridge, GA","Micro","26716","849"
"12540","Bakersfield, CA","Metro","893119","63"
"12580","Baltimore-Columbia-Towson, MD","Metro","2808175","20"
"12620","Bangor, ME","Metro","151957","280"
"12660","Baraboo, WI","Micro","63981","512"
"12680","Bardstown, KY","Micro","45640","646"
"12700","Barnstable Town, MA","Metro","213444","214"
"12740","Barre, VT","Micro","58290","543"
"12780","Bartlesville, OK","Micro","51932","589"
"12860","Batavia, NY","Micro","57956","547"
"12900","Batesville, AR","Micro","54897","566"
"12940","Baton Rouge, LA","Metro","856685","67"
"12980","Battle Creek, MI","Metro","134128","319"
"13020","Bay City, MI","Metro","104239","376"
"13060","Bay City, TX","Micro","36840","743"
"13100","Beatrice, NE","Micro","21601","897"
"13140","Beaumont-Port Arthur, TX","Metro","398485","140"
"13180","Beaver Dam, WI","Micro","87786","423"
"13220","Beckley, WV","Metro","118543","348"
"13260","Bedford, IN","Micro","45666","645"
"13300","Beeville, TX","Micro","32563","794"
"13340","Bellefontaine, OH","Micro","45325","650"
"13380","Bellingham, WA","Metro","221404","206"
"13420","Bemidji, MN","Micro","46513","631"
"13460","Bend, OR","Metro","186875","233"
"13500","Bennettsville, SC","Micro","26825","846"
"13540","Bennington, VT","Micro","35594","759"
"13620","Berlin, NH","Micro","31634","805"
"13660","Big Rapids, MI","Micro","43391","672"
"13700","Big Spring, TX","Micro","36040","754"
"13720","Big Stone Gap, VA","Micro","42522","679"
"13740","Billings, MT","Metro","179095","243"
"13780","Binghamton, NY","Metro","242217","195"
"13820","Birmingham-Hoover, AL","Metro","1085749","51"
"13900","Bismarck, ND","Metro","127766","327"
