"CSA Code","CBSA Code"
"104","10580"
"104","11220"
"104","24020"
"104","24100"
"104","26460"
"106","10740"
"106","21580"
"106","29780"
"106","31060"
"106","42140"
"107","11020"
"107","26500"
"108","11100"
"108","14420"
"108","37420"
"118","11540"
"118","36780"
"120","11700"
"120","14820"
"120","32000"
"122","12020"
"122","12060"
"122","16340"
"122","18460"
"122","23580"
"122","27600"
"122","29300"
"122","40660"
"122","45580"
"122","45740"
"140","13460"
"140","39260"
"142","13820"
"142","18980"
"142","27530"
"142","45180"
"144","13260"
"144","14020"
"145","14010"
"145","38700"
"146","14100"
"146","30260"
"146","42780"
"146","44980"
"147","14260"
"147","34300"
"147","36620"
"148","12700"
"148","14460"
"148","18180"
"148","29060"
"148","31700"
"148","39300"
"148","49340"
"150","14540"
"150","23980"
"154","15180"
"154","39700"
"160","15380"
"160","36460"
"161","15460"
"161","22800"
"162","12740"
"162","15540"
"163","15980"
"163","17500"
"163","34940"
"164","16020"
"164","43460"
"168","16300"
"168","26980"
"170","16620"
"170","26580"
"170","34350"
"170","38580"
"170","39020"
"172","10620"
"172","16740"
"172","43140"
"174","11940"
"174","15660"
"174","16860"
"174","17420"
"174","19140"
"174","19420"
"174","44900"
"176","16980"
"176","28100"
"176","33140"
"176","36837"
"178","17140"
"178","32500"
"178","48940"
"184","10420"
"184","11780"
"184","15940"
"184","17460"
"184","35420"
"184","35940"
"184","41780"
"184","49300"
"185","17380"
"185","26940"
"188","17580"
"188","38780"
"190","17860"
"190","33020"
"190","33620"
"192","17900"
"192","35140"
"192","36700"
"194","12220"
"194","17980"
"198","13340"
"198","15740"
"198","17060"
"198","18140"
"198","32020"
"198","34540"
"198","47920"
"198","49780"
"200","18060"
"200","48500"
"204","10860"
"204","18580"
"204","28780"
"204","40530"
"206","11980"
"206","14300"
"206","18620"
"206","19100"
"206","20460"
"206","23620"
"206","24180"
"206","33420"
"206","43300"
"209","17540"
"209","19340"
"209","34700"
"212","19430"
"212","24820"
"212","43380"
"212","44220"
"212","46500"
"216","14500"
"216","19740"
"216","24540"
"217","19760"
"217","22860"
"218","11180"
"218","19780"
"218","36820"
"218","37800"
"220","10300"
"220","11460"
"220","19820"
"220","22420"
"220","33780"
"221","19940"
"221","44580"
"222","20020"
"222","37120"
"232","20740"
"232","32860"
"233","20780"
"233","24060"
"236","18500"
"236","21300"
"238","21340"
"238","29740"
"240","21500"
"240","32740"
"244","22020"
"244","47420"
"246","22180"
"246","29900"
"246","31300"
"246","38240"
"246","41820"
"258","11420"
"258","12140"
"258","19540"
"258","23060"
"258","26540"
"258","28340"
"260","23420"
"260","25260"
"260","31460"
"264","23540"
"264","29380"
"266","13660"
"266","24340"
"266","26090"
"266","34740"
"267","24580"
"267","43020"
"268","15500"
"268","24660"
"268","34340"
"268","49180"
"272","24780"
"272","28820"
"272","47820"
"273","23500"
"273","24860"
"273","24940"
"273","42860"
"273","43900"
"273","46420"
"276","23900"
"276","25420"
"276","30140"
"276","49620"
"277","25500"
"277","44420"
"278","25540"
"278","35980"
"279","25620"
"279","29860"
"284","26300"
"284","31680"
"288","13060"
"288","14780"
"288","20900"
"288","26420"
"288","26660"
"290","19460"
"290","26620"
"292","13940"
"292","26820"
"292","39940"
"294","18020"
"294","18820"
"294","24700"
"294","26900"
"294","34620"
"294","35220"
"294","35860"
"294","42980"
"296","18660"
"296","27060"
"297","15140"
"297","27180"
"298","15020"
"298","27140"
"298","46980"
"300","27260"
"300","37260"
"300","41220"
"304","27740"
"304","28700"
"306","27780"
"306","43740"
"308","27860"
"308","37500"
"309","27900"
"309","33060"
"310","12980"
"310","17740"
"310","28020"
"310","44780"
"312","11860"
"312","28140"
"312","29940"
"312","36840"
"312","41140"
"312","47660"
"313","28420"
"313","47460"
"314","23240"
"314","28500"
"315","28940"
"315","34100"
"315","35460"
"315","42940"
"316","29020"
"316","37940"
"318","29180"
"318","34020"
"318","36660"
"320","23140"
"320","29200"
"324","27660"
"324","29340"
"332","29820"
"332","37220"
"336","23180"
"336","30460"
"336","34460"
