MSACode,MSAType,MSAName
0040,"MSA","Abilene, TX"
0060,"MSA","Aguidilla, PR"
0080,"PMSA","Akron, OH"
0120,"MSA","Albany, GA"
0160,"MSA","Albany-Schenectady-Troy, NY"
0200,"MSA","Albuquerque, NM"
0220,"MSA","Alexandria, LA"
0240,"MSA","Allentown-Bethlehem-Easton, PA"
0280,"MSA","Altoona, PA"
0320,"MSA","Amarillo, TX"
0380,"MSA","Anchorage, AK"
0400,"MSA","Anderson, IN (Replaced by 3480)"
0405,"MSA","Anderson, SC (Replaced by 3160)"
0440,"PMSA","Ann Arbor, MI"
0450,"MSA","Anniston, AL"
0460,"MSA","Appleton-Oshkosh-Neenah, WI"
0470,"PMSA","Arecibo, PR"
0480,"MSA","Asheville, NC"
0500,"MSA","Athens, GA"
0520,"MSA","Atlanta, GA"
0560,"PMSA","Atlantic-Cape May, NJ"
0580,"MSA","Auburn-Opelika, AL"
0600,"MSA","Augusta-Aiken, GA-SC"
0620,"PMSA","Aurora-Elgin, IL"
0640,"MSA","Austin-San Marcos, TX"
0680,"MSA","Bakersfield, CA"
0720,"PMSA","Baltimore, MD"
0730,"MSA","Bangor, ME"
0740,"MSA","Barnstable-Yarmouth, MA"
0760,"MSA","Baton Rouge, LA"
0780,"MSA","Battle Creek, MI (Replaced by 3720)"
0840,"MSA","Beaumont-Port Arthur, TX"
0845,"PMSA","Beaver County, PA"
0860,"MSA","Bellingham, WA"
0870,"MSA","Benton Harbor, MI"
0875,"PMSA","Bergen-Passaic, NJ"
0880,"MSA","Billings, MT"
0920,"MSA","Biloxi-Gulfport-Pascagoula, MS"
0960,"MSA","Binghamton, NY"
1000,"MSA","Birmingham, AL"
1010,"MSA","Bismarck, ND"
1020,"MSA","Bloomington, IN"
1040,"MSA","Bloomington-Normal, IL"
1080,"MSA","Boise City, ID"
1120,"PMSA","Boston, MA-NH"
1122,"CMSA","Boston-Worcester-Lawrence, MA-NH-ME-CT"
1125,"PMSA","Boulder-Longmont, CO"
1140,"MSA","Bradenton, FL (Replaced by 7510)"
1145,"PMSA","Brazoria, TX"
1150,"PMSA","Bremerton, WA"
1160,"PMSA","Bridgeport, CT"
1170,"PMSA","Bristol, CT"
1200,"PMSA","Brockton, MA"
1240,"MSA","Brownsville-Harlingen-San Benito, TX"
1260,"MSA","Bryan-College Station, TX"
1280,"MSA","Buffalo-Niagara Falls, NY"
1282,"CMSA","Buffalo-Niagara Falls, NY (Not Used - See 1280)"
1300,"MSA","Burlington, NC (Replaced by 3120)"
1305,"MSA","Burlington, VT"
1310,"PMSA","Caguas, PR"
1320,"MSA","Canton-Massillon, OH"
1350,"MSA","Casper, WY"
1360,"MSA","Cedar Rapids, IA"
1400,"MSA","Champaign-Urbana, IL"
1440,"MSA","Charleston, SC"
1480,"MSA","Charleston, WV"
1520,"MSA","Charlotte-Gastonia-Rock Hill, NC-SC"
1540,"MSA","Charlottesville, VA"
1560,"MSA","Chattanooga, TN-GA"
1580,"MSA","Cheyenne, WY"
1600,"PMSA","Chicago, IL"
1602,"CMSA","Chicago-Gary-Kenosha, IL-IN-WI"
1620,"MSA","Chico-Paradise, CA"
1640,"PMSA","Cincinnati, OH-KY-IN"
1642,"CMSA","Cincinnati-Hamilton, OH-KY-IN"
