"Zip Code","State","City","County","CBSA Code","Division Code","MSA Code"
"00501","NY","Holtsville","Suffolk","35620","35004","5380"
"00544","NY","Holtsville","Suffolk","35620","35004","5380"
"00601","PR","Adjuntas","Adjuntas","38660","0","0000"
"00602","PR","Aguada","Aguada","10380","0","0060"
"00603","PR","Aguadilla","Aguadilla","10380","0","0060"
"00604","PR","Aguadilla","Aguadilla","10380","0","0060"
"00605","PR","Aguadilla","Aguadilla","10380","0","0060"
"00606","PR","Maricao","Maricao","0","0","0000"
"00610","PR","Anasco","Anasco","10380","0","4840"
"00611","PR","Angeles","Utuado","10380","0","0000"
"00612","PR","Arecibo","Arecibo","11640","0","0470"
"00613","PR","Arecibo","Arecibo","11640","0","0470"
"00614","PR","Arecibo","Arecibo","11640","0","0470"
"00616","PR","Bajadero","Arecibo","11640","0","0470"
"00617","PR","Barceloneta","Barceloneta","41980","0","7440"
"00622","PR","Boqueron","Cabo Rojo","41900","0","4840"
"00623","PR","Cabo Rojo","Cabo Rojo","41900","0","4840"
"00624","PR","Penuelas","Penuelas","49500","0","6360"
"00627","PR","Camuy","Camuy","11640","0","0470"
"00631","PR","Castaner","Lares","10380","0","0000"
"00636","PR","Rosario","San German","41900","0","4840"
"00637","PR","Sabana Grande","Sabana Grande","41900","0","4840"
"00638","PR","Ciales","Ciales","41980","0","0000"
"00641","PR","Utuado","Utuado","10380","0","0000"
"00646","PR","Dorado","Dorado","41980","0","7440"
"00647","PR","Ensenada","Guanica","49500","0","0000"
"00650","PR","Florida","Florida","41980","0","7440"
"00652","PR","Garrochales","Arecibo","11640","0","0470"
"00653","PR","Guanica","Guanica","49500","0","0000"
"00656","PR","Guayanilla","Guayanilla","49500","0","6360"
"00659","PR","Hatillo","Hatillo","11640","0","0470"
"00660","PR","Hormigueros","Hormigueros","32420","0","4840"
"00662","PR","Isabela","Isabela","10380","0","0000"
"00664","PR","Jayuya","Jayuya","27580","0","0000"
"00667","PR","Lajas","Lajas","41900","0","0000"
"00669","PR","Lares","Lares","10380","0","0000"
"00670","PR","Las Marias","Las Marias","32420","0","0000"
"00674","PR","Manati","Manati","41980","0","7440"
"00676","PR","Moca","Moca","10380","0","0060"
"00677","PR","Rincon","Rincon","10380","0","0000"
"00678","PR","Quebradillas","Quebradillas","11640","0","0000"
"00680","PR","Mayaguez","Mayaguez","32420","0","4840"
"00681","PR","Mayaguez","Mayaguez","32420","0","4840"
"00682","PR","Mayaguez","Mayaguez","32420","0","4840"
"00683","PR","San German","San German","41900","0","4840"
"00685","PR","San Sebastian","San Sebastian","10380","0","0000"
"00687","PR","Morovis","Morovis","41980","0","7440"
"00688","PR","Sabana Hoyos","Arecibo","11640","0","0470"
"00690","PR","San Antonio","Aguadilla","10380","0","0060"
"00692","PR","Vega Alta","Vega Alta","41980","0","7440"
"00693","PR","Vega Baja","Vega Baja","41980","0","7440"
"00694","PR","Vega Baja","Vega Baja","41980","0","7440"
"00698","PR","Yauco","Yauco","49500","0","6360"
"00703","PR","Aguas Buenas","Aguas Buenas","41980","0","7440"
"00704","PR","Aguirre","Salinas","17640","0","0000"
"00705","PR","Aibonito","Aibonito","41980","0","0000"
"00707","PR","Maunabo","Maunabo","41980","0","0000"
"00714","PR","Arroyo","Arroyo","25020","0","0000"
"00715","PR","Mercedita","Ponce","38660","0","6360"
"00716","PR","Ponce","Ponce","38660","0","6360"
"00717","PR","Ponce","Ponce","38660","0","6360"
"00718","PR","Naguabo","Naguabo","41980","0","7440"
"00719","PR","Naranjito","Naranjito","41980","0","7440"
"00720","PR","Orocovis","Orocovis","41980","0","0000"
"00721","PR","Palmer","Rio Grande","41980","0","7440"
"00723","PR","Patillas","Patillas","25020","0","0000"
"00725","PR","Caguas","Caguas","41980","0","1310"
"00726","PR","Caguas","Caguas","41980","0","1310"
"00727","PR","Caguas","Caguas","41980","0","1310"
"00728","PR","Ponce","Ponce","38660","0","6360"
"00729","PR","Canovanas","Canovanas","41980","0","7440"
"00730","PR","Ponce","Ponce","38660","0","6360"
"00731","PR","Ponce","Ponce","38660","0","6360"
"00732","PR","Ponce","Ponce","38660","0","6360"
"00733","PR","Ponce","Ponce","38660","0","6360"
"00734","PR","Ponce","Ponce","38660","0","6360"
"00735","PR","Ceiba","Ceiba","41980","0","7440"
"00736","PR","Cayey","Cayey","41980","0","1310"
"00737","PR","Cayey","Cayey","41980","0","1310"
"00738","PR","Fajardo","Fajardo","41980","0","7440"
"00739","PR","Cidra","Cidra","41980","0","1310"
"00740","PR","Puerto Real","Fajardo","41980","0","7440"
"00741","PR","Punta Santiago","Humacao","41980","0","7440"
"00742","PR","Roosevelt Roads","Ceiba","41980","0","7440"
"00744","PR","Rio Blanco","Naguabo","41980","0","7440"
"00745","PR","Rio Grande","Rio Grande","41980","0","7440"
"00751","PR","Salinas","Salinas","17640","0","0000"
"00754","PR","San Lorenzo","San Lorenzo","41980","0","1310"
"00757","PR","Santa Isabel","Santa Isabel","42180","0","0000"
"00765","PR","Vieques","Vieques","0","0","0000"
"00766","PR","Villalba","Villalba","38660","0","6360"
"00767","PR","Yabucoa","Yabucoa","41980","0","7440"
"00769","PR","Coamo","Coamo","17620","0","0000"
"00771","PR","Las Piedras","Las Piedras","41980","0","7440"
"00772","PR","Loiza","Loiza","41980","0","7440"
"00773","PR","Luquillo","Luquillo","41980","0","7440"
"00775","PR","Culebra","Culebra","0","0","0000"
"00777","PR","Juncos","Juncos","41980","0","7440"
"00778","PR","Gurabo","Gurabo","41980","0","1310"
"00780","PR","Coto Laurel","Ponce","38660","0","6360"
"00782","PR","Comerio","Comerio","41980","0","7440"
"00783","PR","Corozal","Corozal","41980","0","7440"
"00784","PR","Guayama","Guayama","25020","0","0000"
"00785","PR","Guayama","Guayanilla","49500","0","0000"
"00786","PR","La Plata","Aibonito","41980","0","0000"
"00791","PR","Humacao","Humacao","41980","0","7440"
"00792","PR","Humacao","Humacao","41980","0","7440"
"00794","PR","Barranquitas","Barranquitas","41980","0","0000"
"00795","PR","Juana Diaz","Juana Diaz","38660","0","6360"
"00901","PR","San Juan","San Juan","41980","0","7440"
"00902","PR","San Juan","San Juan","41980","0","7440"
"00906","PR","San Juan","San Juan","41980","0","7440"
"00907","PR","San Juan","San Juan","41980","0","7440"
"00908","PR","San Juan","San Juan","41980","0","7440"
"00909","PR","San Juan","San Juan","41980","0","7440"
"00910","PR","San Juan","San Juan","41980","0","7440"
